02431560,美国文化与社会,American Culture and Society 
02431580,中国政治概论,Outline of The Chinese Politics 
02431610,中国边疆问题概论,Introduction to The Frontier Problems of China 
02431880,中东地区的国家关系,National Relations of Middle-East 
02431890,晚清对外关系的历史与人物,Foreign Relations of The Late Qing Dynasty:History and Personalities 
02431940,台湾政治概论,Introduction to Taiwan 
02433200,伊斯兰与世界政治,Islam in World Politics 
02530070,宏观经济学,Macroeconomics  
02533340,中国经济思想史,History of Chinese Economic Thoughts 
02532590,中华人民共和国经济史,Economic History of People`s Republic of China 
02533170,经济学原理 (Ⅱ),Principle of Economics  (Ⅱ)
02831310,管理学原理,Principle of Management 
02832220,民商法,Civil Business  Law 
02832600,营销学原理,Principles of Marketing 
02833390,博弈与社会,Game Theory and Society 
02930105,外国刑法,Foreign Criminal Law 
02930530,外国宪法,Foreign Constitutional Law 
02939991,英美侵权法,Anglo-American Tort Law 
02939999,法律导论,Introduction to Law 
03032360,中国文化史,History of Chinese Culture 
03033246,电子资源的检索与利用,Electronic Resources: Retrieval and Applications 
03033270,视觉圣经,—西方艺术中的基督教 The Visual Bible - Christianity in Western Art 
03130280,社会性别研究,Gender Studies 
03131160,社会学导论,Introduction to Sociology 
03131410,自杀社会问题研究,Sociological Study on Suicide 
03131640,生物学对社会科学的启示,What Can A Social Scientist Learn from Biology 
03131760,人口资源环境社会学,Sociology of Population, resources and environment 
03230870,中国政治与政府过程,Chinese Politics and Government Process 
03230900,政治学原理,Introduction to Political Science 
03232080,日本经济,Japanese Economy 
03530010,东方文学史,History of Oriental Literature 
03530190,日本文化艺术专题,The Special Topic on Japanese Culture and Art 
03530350,圣经概述和导读,Introduction to Bible 
03530370,东南亚文化,Southeast Asian Culture 
03634030,传记文学：经典人物研究,Auto/Biography:A Study of Classical Figures 
03634060,西方文学名著导读,Introduction to Western Literary Masterworks 
03834100,中西文化比较,A Comparative Study of Chinese and Western Cultures 
03835340,莎士比亚名篇赏析,Selected Reading in Shakespeare 
04031700,周易精读,An Intensive Reading of Zhouyi 
04330043,西方音乐史,History of Western Music 
04330051,中国美术史,History of Chinese Fine Arts 
04330111,经典昆曲欣赏,Classical KunquOpera  Appreciation 
04330550,影视鉴赏,Basics of Appreciation of Film and TV Art 
04331020,中外名曲赏析,Appreciation of Chinese and Foreign Famous Songs 
04332210,中国电影史,Chinese Film History 
04332350,中国流行音乐流变,Trends of Chinese Popular Music 
04332470,中国美术概论,Outline of Chinese Art 
04332490,西方歌剧简史与名作赏析,History of Western Opera and Masterpieces 
04332510,艺术史,History of Art 
04332710,西方美术史,History of Western Fine Arts 
04332881,中外美术创作比较,Comparison on Creation of Art between China and the West 
04332960,20世纪西方音乐,Western Music in the  20th  Century 
04630030,学术规范与论文写作,Critical Reading and Writing with Sources 
00332940,复杂系统科学导论,Introduction to science of complex systems 
01339320,中国历史地理,The Historical Geography of China 
01534230,自然保护学,Nature Conservation 
12731010,人类生存发展与环境保护,Human Subsistence&Development; and Environmental Protection2 
12731060,环境伦理概论,Intoduction of Environmental Ethics 
12731020,全球环境问题,Global Environmental Issues 
00102892,统计学习,Statistical Learning 
00102894,分位数回归,Quantile Regression Analysis 
00110040,微分拓扑,Differential Topology 
00110170,代数数论,Algebraic Number Theory 
00110190,动力系统,Dynamical Systems 
00110290,常微分方程选讲,Selected Topics on ODEs 
00110710,试验设计,Design of experiments 
00110820,计算流体力学,Computational Fluid Dynamics 
00110850,控制系统CAD,Computer-Aided Design in Control Systems 
00110940,复分析,Complex Analysis 
00110950,人工智能,Artificial Intelligence 
00111140,近代偏微分方程,Modern Partial Differential Equations 
00112040,现代信息处理选讲,Topics in Modern Information Processing 
00112530,数学物理中的反问题,Inverse Problem of Mathematical Physics 
00112610,同调代数,Homological Algebra 
00112650,随机过程论,Stochastic Processes 
00112730,线性代数群,Linear Algebraic Groups 
00112780,应用偏微分方程,Applied Partial Differential Equations 
00112890,生物医学成像的数学方法,Mathematical Methods in Biomedical Imaging 
00113030,偏微分方程选讲,Topics in  partial  Differential  Equations 
00113070,差分方程,II Finite Difference Method II 
00113670,近代数学物理方法,Methods of Modern Mathematical Physics 
00114100,代数拓扑选讲,Topics in algebraic topology 
00130030,信息科学基础,Fundamentals of Information Science 
00130070,初等数论,Elementary Number Theory 
00130190,微分流形,Introduction to Differentiable Manifolds 
00130200,数学模型,Mathematical Modeling 
00130410,常微分方程定性理论,Qualitative Theory of Ordinary Differential Equations 
00130560,数值分析,Introduction to Numerical Analysis 
00130630,最优化方法,Optimization Methods 
00130640,流体力学引论,Introduction to Fluid Mechanics 
00130990,非寿险精算,Non-life Insurance Mathematics 
00131140,期权期货与其它衍生证券,Options, Futures and Other Derivatives 
00131280,证券投资学,Security Investment 
00131300,概率论,Probability Theory 
00131300,概率论,Probability Theory 
00131410,计算概论,Introduction to Computing 
00131610,高等代数,Advanced Algebra 
00131640,几何讨论班,Geometry Seminar 
00131650,代数讨论班,Seminar on Algebra 
00131660,分析讨论班,Seminar on Analysis 
00131670,应用数学导论,An Introduction to applied mathematics 
00131680,毕业论文（1）,Graduate Thesis (1)
00131680,毕业论文（1）,Graduate Thesis (1)
00131680,毕业论文（1）,Graduate Thesis (1)
00131680,毕业论文（1）,Graduate Thesis (1)
